date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:39:10	103/103	---M-Z	200	added ('OK')	text/plain	etag:%225f-37d5c4cdac180-gzip%22	http://web.cs.ucla.edu/robots.txt		(from )
16:39:10	705/705	---M-Z	200	added ('OK')	text/html	etag:%222c1-5595a4e96d854-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs31/	./CS31/web.cs.ucla.edu/classes/fall17/cs31/index.html	(from )
16:39:11	3638/3638	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22e36-457daf4f497c0%22	http://web.cs.ucla.edu/classes/fall17/cs31/favicon.ico	./CS31/web.cs.ucla.edu/classes/fall17/cs31/favicon.ico	(from http://web.cs.ucla.edu/classes/fall17/cs31/)
16:39:12	7002/7002	---M-Z	200	added ('OK')	text/html	etag:%221b5a-55ed93b8ef670-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs31/contents.html	./CS31/web.cs.ucla.edu/classes/fall17/cs31/contents.html	(from http://web.cs.ucla.edu/classes/fall17/cs31/)
16:39:13	12988/12988	---M-Z	200	added ('OK')	text/html	etag:%2232bc-55eaeb4bfdefa-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs31/announcements.html	./CS31/web.cs.ucla.edu/classes/fall17/cs31/announcements.html	(from http://web.cs.ucla.edu/classes/fall17/cs31/)
16:39:14	13010/13010	---M-Z	200	added ('OK')	text/html	etag:%2232d2-55d90bdf6b2b2-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs31/syllabus.html	./CS31/web.cs.ucla.edu/classes/fall17/cs31/syllabus.html	(from http://web.cs.ucla.edu/classes/fall17/cs31/contents.html)
16:39:15	5582/5582	---M-Z	200	added ('OK')	text/html	etag:%2215ce-55dfa7394ec5a-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs31/officehours.html	./CS31/web.cs.ucla.edu/classes/fall17/cs31/officehours.html	(from http://web.cs.ucla.edu/classes/fall17/cs31/contents.html)
16:39:16	7284/7284	---M-Z	200	added ('OK')	text/html	etag:%221c74-55a1fca2bfc37-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs31/requirements.html	./CS31/web.cs.ucla.edu/classes/fall17/cs31/requirements.html	(from http://web.cs.ucla.edu/classes/fall17/cs31/contents.html)
16:39:17	3483/3483	---M-Z	200	added ('OK')	text/html	etag:%22d9b-54c7239655f98-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs31/integrity.html	./CS31/web.cs.ucla.edu/classes/fall17/cs31/integrity.html	(from http://web.cs.ucla.edu/classes/fall17/cs31/contents.html)
16:39:20	3380/3380	---M-Z	200	added ('OK')	text/html	etag:%22d34-55e77d63f1d34-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs31/Codeexamples/index.html	./CS31/web.cs.ucla.edu/classes/fall17/cs31/Codeexamples/index.html	(from http://web.cs.ucla.edu/classes/fall17/cs31/contents.html)
16:39:21	1440/1440	---M-Z	200	added ('OK')	text/html	etag:%225a0-55b8dac242096-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs31/talinks.html	./CS31/web.cs.ucla.edu/classes/fall17/cs31/talinks.html	(from http://web.cs.ucla.edu/classes/fall17/cs31/contents.html)
16:39:22	1167/1167	---M-Z	200	added ('OK')	text/html	etag:%2248f-55e83186c9bc4-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs31/Worksheets/index.html	./CS31/web.cs.ucla.edu/classes/fall17/cs31/Worksheets/index.html	(from http://web.cs.ucla.edu/classes/fall17/cs31/contents.html)
16:39:23	77533/77533	---M--	200	added ('OK')	application/pdf	etag:%2212edd-55a221bb51fe7%22	http://web.cs.ucla.edu/classes/fall17/cs31/Docs/agreement.pdf	./CS31/web.cs.ucla.edu/classes/fall17/cs31/Docs/agreement.pdf	(from http://web.cs.ucla.edu/classes/fall17/cs31/contents.html)
